Instance,claspfolio
cv_data5-8-25,3370.8270
BF20_cpmp_20_5_60_24_45_9,2.8440
cv_data5-6-5,941.5070
cv_data5-6-7,169.2270
cv_data5-6-6,4.7080
cv_data5-6-2,142.0210
cv_data5-6-8,189.7960
cv_data4-7-20,1.0080
cv_data4-7-21,17.0090
BF4_cpmp_16_5_48_20_36_8,0.0040
cv_data4-7-23,3.1680
cv_data4-7-24,0.1240
cv_data4-7-25,55.3190
cv_data4-7-26,32.7380
cv_data4-7-27,106.6110
BF4_cpmp_16_5_48_20_36_2,121.0560
cv_data4-7-29,3.1200
BF4_cpmp_16_5_48_20_36_1,0.0040
BF4_cpmp_16_5_48_20_36_6,1.6680
BF4_cpmp_16_5_48_20_36_7,93.8900
BF4_cpmp_16_5_48_20_36_5,0.0480
cv_data5-5-14,290.0180
cv_data5-5-15,802.9420
cv_data5-5-16,250.3280
cv_data5-5-17,28.8940
cv_data5-5-10,62.9120
cv_data5-5-11,36000.0000
cv_data5-5-12,213.9650
cv_data5-5-13,913.5930
BF20_cpmp_20_5_60_24_45_12,36000.0000
BF20_cpmp_20_5_60_24_45_13,0.0040
BF20_cpmp_20_5_60_24_45_10,6.3400
BF20_cpmp_20_5_60_24_45_11,112.0590
cv_data5-5-18,299.3630
cv_data5-5-19,7.8560
BF20_cpmp_20_5_60_24_45_14,0.0040
BF20_cpmp_20_5_60_24_45_15,0.0040
LC3a_lc3a_7,89.8900
LC3a_lc3a_6,2.0800
LC3a_lc3a_4,36000.0000
LC3a_lc3a_3,114.6710
LC3a_lc3a_1,56.1040
cv_data3-5-8,0.0840
cv_data5-9-3,3576.5840
LC3a_lc3a_9,36000.0000
LC3a_lc3a_8,569.0480
BF1_cpmp_16_5_48_10_29_6,36000.0000
BF1_cpmp_16_5_48_10_29_7,0.0040
BF1_cpmp_16_5_48_10_29_4,84.6610
BF1_cpmp_16_5_48_10_29_5,36000.0000
BF10_cpmp_16_8_77_16_58_8,0.0120
BF1_cpmp_16_5_48_10_29_1,0.0040
BF1_cpmp_16_5_48_10_29_8,0.0040
BF1_cpmp_16_5_48_10_29_9,0.0040
BF17_cpmp_20_5_60_12_36_5,2.6400
BF17_cpmp_20_5_60_12_36_4,171.9870
BF17_cpmp_20_5_60_12_36_7,0.1560
BF17_cpmp_20_5_60_12_36_6,0.0280
BF17_cpmp_20_5_60_12_36_1,0.0520
BF17_cpmp_20_5_60_12_36_3,0.0920
BF17_cpmp_20_5_60_12_36_2,0.0440
cv_data5-9-10,514.5800
BF17_cpmp_20_5_60_12_36_8,1.4600
cv_data4-6-39,0.3720
cv_data4-6-34,20.6330
cv_data4-6-35,2.6840
cv_data4-6-36,12.8490
cv_data4-6-37,15.4210
cv_data4-6-30,1.9320
cv_data4-6-32,10.2130
cv_data4-6-33,31.7220
BF5_cpmp_16_5_64_13_39_10,36000.0000
BF5_cpmp_16_5_64_13_39_11,36000.0000
BF5_cpmp_16_5_64_13_39_12,0.0640
BF5_cpmp_16_5_64_13_39_14,0.2600
BF5_cpmp_16_5_64_13_39_15,237.7030
cv_data5-5-8,251.2520
cv_data5-5-9,1.2080
cv_data5-5-6,340.8010
cv_data5-7-1,6.5240
cv_data5-5-4,63.8280
cv_data5-5-5,332.7690
cv_data5-7-4,368.8590
cv_data5-5-3,1.3960
cv_data5-7-7,524.6210
BF21_cpmp_20_5_80_16_48_7,27.2860
cv_data5-4-17,1010.4990
cv_data5-4-16,35.0180
cv_data5-4-15,60.6600
cv_data5-4-14,1259.8670
cv_data5-4-13,242.2550
cv_data5-4-12,57.7840
cv_data5-4-10,0.2960
cv_data4-4-2,0.0360
cv_data4-4-3,0.4000
cv_data4-4-7,0.5360
cv_data5-4-18,1.8760
BF3_cpmp_16_5_48_20_29_9,0.0000
BF3_cpmp_16_5_48_20_29_8,0.0040
BF3_cpmp_16_5_48_20_29_6,0.0040
BF3_cpmp_16_5_48_20_29_5,665.1540
BF3_cpmp_16_5_48_20_29_3,36000.0000
BF3_cpmp_16_5_48_20_29_1,108.9430
cv_data4-7-1,2.3360
cv_data4-7-3,0.6280
cv_data4-7-2,26.9980
cv_data4-7-5,29.2140
cv_data4-7-4,1.3040
cv_data4-7-7,62.6360
cv_data4-7-6,8.1730
cv_data4-7-9,0.5520
cv_data4-5-27,1.6040
cv_data4-5-24,0.0160
cv_data4-5-25,0.7640
cv_data4-5-22,0.4720
cv_data4-5-23,1.5600
cv_data4-5-20,0.3360
cv_data4-5-21,3.8160
BF9_cpmp_16_8_77_16_47_10,300.5630
BF9_cpmp_16_8_77_16_47_12,406.8010
cv_data3-7-5,0.0040
BF25_cpmp_20_8_96_20_58_20,36000.0000
cv_data5-7-31,632.0190
cv_data5-7-32,2907.3260
cv_data5-7-33,1496.7380
cv_data5-7-36,907.4450
cv_data5-7-37,75.3690
BF20_cpmp_20_5_60_24_45_3,1.7680
cv_data5-4-6,2.4320
cv_data5-9-32,1377.4380
cv_data4-7-19,5.9800
cv_data4-7-11,0.1120
cv_data4-7-10,96.4100
cv_data4-7-13,0.3960
cv_data4-7-12,275.8730
cv_data4-7-15,126.5440
cv_data4-7-14,4.9880
cv_data4-7-17,1.1640
cv_data4-7-16,9.0330
cv_data5-4-4,297.2750
cv_data5-5-29,1960.9790
cv_data5-5-28,36000.0000
cv_data5-5-25,573.4320
cv_data5-5-24,0.7880
cv_data5-5-27,2180.4440
BF8_cpmp_16_5_64_26_48_6,36000.0000
cv_data5-5-21,205.3090
cv_data5-5-20,84.8970
cv_data5-5-23,6.0160
cv_data5-5-22,79.8850
BF21_cpmp_20_5_80_16_48_11,1.0360
BF21_cpmp_20_5_80_16_48_14,8.6250
BF21_cpmp_20_5_80_16_48_16,1.0960
BF21_cpmp_20_5_80_16_48_19,35.7780
BF21_cpmp_20_5_80_16_48_18,36000.0000
BF2_cpmp_16_5_48_10_36_19,36000.0000
BF11_cpmp_16_8_77_31_47_16,66.9880
BF11_cpmp_16_8_77_31_47_10,2031.0390
BF11_cpmp_16_8_77_31_47_11,422.5300
cv_data5-9-21,608.6940
BF2_cpmp_16_5_48_10_36_20,4.0040
cv_data4-4-19,0.2040
cv_data4-4-10,0.1600
BF5_cpmp_16_5_64_13_39_20,36000.0000
cv_data4-4-12,0.5760
cv_data4-4-13,0.0640
cv_data4-4-14,0.4320
cv_data4-4-15,0.2560
cv_data4-4-16,6.1040
BF8_cpmp_16_5_64_26_48_11,36000.0000
BF8_cpmp_16_5_64_26_48_12,36000.0000
BF8_cpmp_16_5_64_26_48_17,36000.0000
BF23_cpmp_20_5_80_32_48_3,7.8360
BF23_cpmp_20_5_80_32_48_4,2.7680
BF23_cpmp_20_5_80_32_48_7,36000.0000
BF23_cpmp_20_5_80_32_48_6,2.8560
BF19_cpmp_20_5_60_24_36_20,0.0040
cv_data3-8-28,0.1680
BF9_cpmp_16_8_77_16_47_4,7.8360
BF9_cpmp_16_8_77_16_47_7,2556.3360
BF9_cpmp_16_8_77_16_47_6,444.7480
BF9_cpmp_16_8_77_16_47_1,36000.0000
cv_data4-7-40,0.1240
BF9_cpmp_16_8_77_16_47_3,1.9320
cv_data3-8-24,0.5400
cv_data3-8-25,0.0120
cv_data4-5-14,3.8640
cv_data5-10-33,3050.2350
cv_data5-10-32,36000.0000
BF17_cpmp_20_5_60_12_36_15,0.0240
BF17_cpmp_20_5_60_12_36_17,33.7740
BF17_cpmp_20_5_60_12_36_16,106.6430
BF17_cpmp_20_5_60_12_36_11,1.0960
BF17_cpmp_20_5_60_12_36_10,36000.0000
cv_data3-8-7,1.0640
BF17_cpmp_20_5_60_12_36_12,10.0530
LC3b_lc3b_1,359.9300
LC3b_lc3b_5,0.4080
LC3b_lc3b_4,275.9010
LC3b_lc3b_6,0.4840
LC3b_lc3b_9,74.4530
LC3b_lc3b_8,399.9730
cv_data5-8-19,2413.1110
BF20_cpmp_20_5_60_24_45_8,0.0040
cv_data5-4-38,28.1620
cv_data4-7-22,179.4910
BF4_cpmp_16_5_48_20_36_9,0.0000
cv_data4-4-21,0.2360
cv_data4-4-20,2.3160
cv_data4-4-23,9.3490
cv_data4-4-25,12.0090
cv_data4-4-24,2.0560
cv_data4-4-27,6.0040
cv_data4-4-29,0.3280
cv_data4-4-28,0.4840
cv_data5-7-40,1961.8830
cv_data4-7-28,0.3640
BF20_cpmp_20_5_60_24_45_1,0.0040
cv_data5-4-33,29.7340
cv_data5-6-33,2126.2570
cv_data5-6-31,1421.4570
cv_data5-6-30,696.0280
cv_data5-6-37,3195.6480
cv_data5-6-35,2689.4080
cv_data4-6-40,11.8490
LC2b_lc2b_9,67.7520
cv_data5-4-34,976.6330
cv_data5-4-37,1.5040
BF24_cpmp_20_5_80_32_60_13,296.0830
BF24_cpmp_20_5_80_32_60_17,36000.0000
BF3_cpmp_16_5_48_20_29_20,3446.5710
cv_data3-7-18,0.0600
BF4_cpmp_16_5_48_20_36_10,0.0040
BF4_cpmp_16_5_48_20_36_11,36000.0000
BF4_cpmp_16_5_48_20_36_13,0.0040
BF4_cpmp_16_5_48_20_36_14,0.3320
BF4_cpmp_16_5_48_20_36_15,0.0040
BF4_cpmp_16_5_48_20_36_16,0.0040
BF4_cpmp_16_5_48_20_36_17,8.8930
BF4_cpmp_16_5_48_20_36_18,0.4240
BF4_cpmp_16_5_48_20_36_19,0.0040
BF1_cpmp_16_5_48_10_29_14,36000.0000
BF1_cpmp_16_5_48_10_29_15,106.7550
BF1_cpmp_16_5_48_10_29_17,0.0080
BF2_cpmp_16_5_48_10_36_9,0.5120
BF1_cpmp_16_5_48_10_29_12,36000.0000
LC2b_lc2b_4,50.0510
BF1_cpmp_16_5_48_10_29_18,0.0960
BF1_cpmp_16_5_48_10_29_19,0.0040
cv_data4-5-19,0.5600
cv_data4-5-12,0.7720
cv_data4-5-17,66.9760
cv_data4-5-15,5.9680
BF20_cpmp_20_5_60_24_45_17,0.0040
BF21_cpmp_20_5_80_16_48_3,36000.0000
BF21_cpmp_20_5_80_16_48_2,3.6040
BF21_cpmp_20_5_80_16_48_5,101.5540
BF21_cpmp_20_5_80_16_48_4,5.5760
BF24_cpmp_20_5_80_32_60_8,20.5650
BF21_cpmp_20_5_80_16_48_9,47.3950
BF21_cpmp_20_5_80_16_48_8,36000.0000
BF24_cpmp_20_5_80_32_60_2,36000.0000
BF5_cpmp_16_5_64_13_39_8,0.2960
BF5_cpmp_16_5_64_13_39_9,0.8320
BF5_cpmp_16_5_64_13_39_2,95.3540
BF5_cpmp_16_5_64_13_39_3,0.3520
BF5_cpmp_16_5_64_13_39_1,7.6800
BF5_cpmp_16_5_64_13_39_4,36000.0000
BF5_cpmp_16_5_64_13_39_5,7.0560
cv_data3-8-17,0.0080
cv_data3-6-26,0.2640
cv_data3-6-24,0.1880
BF26_cpmp_20_8_96_20_72_5,36000.0000
BF27_cpmp_20_8_96_39_58_12,359.0540
cv_data5-9-4,1466.8400
BF7_cpmp_16_5_64_26_39_16,4.3040
BF10_cpmp_16_8_77_16_58_3,78.1210
BF1_cpmp_16_5_48_10_29_3,36000.0000
BF11_cpmp_16_8_77_31_47_6,1121.7860
BF11_cpmp_16_8_77_31_47_7,758.8150
cv_data5-5-38,29.4620
cv_data5-5-39,189.1400
cv_data5-5-36,638.1000
cv_data5-5-37,145.5570
cv_data5-5-32,667.8180
cv_data5-5-33,404.6330
cv_data5-5-30,1168.2730
cv_data5-5-31,761.4960
BF6_cpmp_16_5_64_13_48_9,8.9170
BF6_cpmp_16_5_64_13_48_8,36000.0000
BF6_cpmp_16_5_64_13_48_7,9.7290
BF6_cpmp_16_5_64_13_48_6,36000.0000
BF6_cpmp_16_5_64_13_48_4,36000.0000
BF6_cpmp_16_5_64_13_48_3,36000.0000
BF6_cpmp_16_5_64_13_48_2,1.7200
BF6_cpmp_16_5_64_13_48_1,11.8610
BF2_cpmp_16_5_48_10_36_13,36000.0000
BF2_cpmp_16_5_48_10_36_12,0.0040
BF2_cpmp_16_5_48_10_36_11,36000.0000
BF12_cpmp_16_8_77_31_58_14,2816.6520
BF2_cpmp_16_5_48_10_36_17,0.0040
BF2_cpmp_16_5_48_10_36_15,0.0600
BF2_cpmp_16_5_48_10_36_14,36000.0000
cv_data5-9-38,1108.9170
BF2_cpmp_16_5_48_10_36_18,0.0040
cv_data4-6-16,9.3450
cv_data4-6-14,0.0520
cv_data4-6-15,2.8080
cv_data4-6-12,4.8560
cv_data4-6-13,2.0400
cv_data4-6-10,0.2480
cv_data4-6-11,0.4200
cv_data4-6-18,31.8700
cv_data4-6-19,7.9440
cv_data5-4-3,187.9400
BF18_cpmp_20_5_60_12_45_4,0.0600
BF19_cpmp_20_5_60_24_36_10,321.7640
BF19_cpmp_20_5_60_24_36_11,0.0040
BF19_cpmp_20_5_60_24_36_14,0.0040
BF19_cpmp_20_5_60_24_36_15,36000.0000
BF19_cpmp_20_5_60_24_36_16,36000.0000
BF19_cpmp_20_5_60_24_36_17,0.0360
BF19_cpmp_20_5_60_24_36_18,0.0160
cv_data5-4-30,2.0400
BF20_cpmp_20_5_60_24_45_2,36000.0000
cv_data5-4-32,15.6690
cv_data5-4-35,128.5640
BF20_cpmp_20_5_60_24_45_5,0.0040
BF20_cpmp_20_5_60_24_45_6,0.0360
BF20_cpmp_20_5_60_24_45_7,36000.0000
BF19_cpmp_20_5_60_24_36_6,36000.0000
BF19_cpmp_20_5_60_24_36_7,0.0040
BF19_cpmp_20_5_60_24_36_5,0.0040
BF19_cpmp_20_5_60_24_36_2,0.4720
BF19_cpmp_20_5_60_24_36_3,0.0040
BF19_cpmp_20_5_60_24_36_1,1.7880
BF4_cpmp_16_5_48_20_36_20,18.5810
cv_data3-7-17,0.2680
BF19_cpmp_20_5_60_24_36_8,36000.0000
BF19_cpmp_20_5_60_24_36_9,0.0480
BF1_cpmp_16_5_48_10_29_20,36000.0000
BF17_cpmp_20_5_60_12_36_20,0.0240
BF7_cpmp_16_5_64_26_39_17,36000.0000
BF7_cpmp_16_5_64_26_39_14,36000.0000
BF7_cpmp_16_5_64_26_39_15,3.2280
BF7_cpmp_16_5_64_26_39_12,3143.2920
BF7_cpmp_16_5_64_26_39_13,33.0980
BF7_cpmp_16_5_64_26_39_10,353.1260
BF7_cpmp_16_5_64_26_39_11,2782.8580
BF7_cpmp_16_5_64_26_39_19,945.4470
BF6_cpmp_16_5_64_13_48_19,36000.0000
BF6_cpmp_16_5_64_13_48_18,36000.0000
BF6_cpmp_16_5_64_13_48_13,1.5360
BF6_cpmp_16_5_64_13_48_12,0.8520
BF6_cpmp_16_5_64_13_48_11,1.5880
BF10_cpmp_16_8_77_16_58_13,311.8630
BF6_cpmp_16_5_64_13_48_17,2.1120
BF6_cpmp_16_5_64_13_48_16,1.0720
BF6_cpmp_16_5_64_13_48_15,133.5240
BF7_cpmp_16_5_64_26_39_8,226.4420
BF7_cpmp_16_5_64_26_39_6,1.1360
BF7_cpmp_16_5_64_26_39_7,407.7930
BF7_cpmp_16_5_64_26_39_1,36000.0000
BF7_cpmp_16_5_64_26_39_2,699.4080
BF7_cpmp_16_5_64_26_39_3,3387.1880
LC2a_lc2a_10,0.0080
cv_data5-7-12,1146.0400
cv_data5-7-13,851.3170
cv_data5-7-11,50.8270
cv_data5-7-16,88.3060
cv_data5-7-15,78.2570
cv_data5-7-18,110.4710
cv_data5-7-19,169.8310
cv_data4-4-33,1.8480
cv_data4-4-30,1.8240
cv_data4-4-34,0.5160
cv_data4-4-35,1.6760
BF5_cpmp_16_5_64_13_39_17,1.2840
cv_data5-6-28,94.7060
cv_data5-5-7,61.0680
cv_data5-6-25,299.0550
cv_data5-6-26,1144.9320
cv_data5-6-20,1032.3370
cv_data5-6-22,102.8220
BF18_cpmp_20_5_60_12_45_12,36000.0000
BF18_cpmp_20_5_60_12_45_13,0.0320
BF18_cpmp_20_5_60_12_45_14,88.1090
BF18_cpmp_20_5_60_12_45_15,0.0360
BF18_cpmp_20_5_60_12_45_16,0.0040
BF18_cpmp_20_5_60_12_45_17,0.0400
BF18_cpmp_20_5_60_12_45_18,0.2480
BF18_cpmp_20_5_60_12_45_19,36000.0000
cv_data5-10-19,1059.7500
cv_data5-4-31,276.9890
BF22_cpmp_20_5_80_16_60_9,36000.0000
BF22_cpmp_20_5_80_16_60_6,137.4850
BF22_cpmp_20_5_80_16_60_7,47.9470
BF22_cpmp_20_5_80_16_60_4,36000.0000
BF2_cpmp_16_5_48_10_36_7,0.8080
BF2_cpmp_16_5_48_10_36_6,36000.0000
cv_data3-7-27,0.1040
BF2_cpmp_16_5_48_10_36_4,0.0040
BF2_cpmp_16_5_48_10_36_3,0.0040
BF2_cpmp_16_5_48_10_36_2,0.1840
BF2_cpmp_16_5_48_10_36_1,165.5820
cv_data3-7-22,0.0240
LC2b_lc2b_3,0.4680
LC2b_lc2b_2,36000.0000
LC2b_lc2b_1,17.4010
LC2b_lc2b_7,528.3250
LC2b_lc2b_6,0.3080
LC2b_lc2b_5,10.7290
BF2_cpmp_16_5_48_10_36_8,0.0520
BF9_cpmp_16_8_77_16_47_8,36000.0000
BF8_cpmp_16_5_64_26_48_20,36000.0000
BF2_cpmp_16_5_48_10_36_5,0.0000
cv_data5-8-39,1526.9030
cv_data5-8-38,1874.0970
BF22_cpmp_20_5_80_16_60_11,36000.0000
cv_data5-8-36,1556.5490
BF22_cpmp_20_5_80_16_60_16,53.3390
cv_data3-5-13,0.0760
LC3a_lc3a_10,0.0480
cv_data4-7-37,35.1740
cv_data4-7-36,1.3080
cv_data4-7-35,6.5640
cv_data4-7-34,0.1280
cv_data4-7-33,33.6660
cv_data4-7-32,57.2240
cv_data4-7-31,25.4060
cv_data4-7-30,0.4320
cv_data4-7-39,50.0350
cv_data4-7-38,0.4880
